beer_name,abv,isorganic,isretired,status,brewery,category_name,style_name,ibumin,ibumax,abvmin,abvmax,srmmin,srmmax,original_gravity,fgmin,fgmax,ibu
Bearwalker Barrel Aged Double Maple,6,Y,N,verified,Jackalope Brewing Company,North American Origin Ales,Ale,25,45,4,6.4,15,26,1.04,1.01,1.018,26
Bearwalker Brown,5.1,N,N,verified,Jackalope Brewing Company,North American Origin Ales,Ale,25,45,4,6.4,15,26,1.04,1.01,1.018,43
Cabin Fever,6.5,N,N,verified,New Holland Brewing Company,North American Origin Ales,Ale,25,45,4,6.4,15,26,1.065,1.01,1.018,25
Deuce,7,N,N,verified,Oskar Blues Brewery,North American Origin Ales,Ale,25,45,4,6.4,15,26,1.04,1.01,1.018,35
Family Values,8.5,N,N,verified,Sierra Nevada Brewing Company,North American Origin Ales,Ale,25,45,4,6.4,15,26,1.083,1.01,1.018,35
Fusion 17,5.5,N,Y,verified,Lagunitas Brewing Company,North American Origin Ales,Ale,25,45,4,6.4,15,26,1.04,1.01,1.018,35
Georgia Brown,5.8,N,N,verified,SweetWater Brewing Company,North American Origin Ales,Ale,25,45,4,6.4,15,26,1.04,1.01,1.018,30
Hash Brown,6.2,N,N,verified,SweetWater Brewing Company,North American Origin Ales,Ale,25,45,4,6.4,15,26,1.04,1.01,1.018,60
Imperial India Brown Ale,9.2,N,N,verified,Portsmouth Brewery,North American Origin Ales,Ale,25,45,4,6.4,15,26,1.04,1.01,1.018,27
Into the Woods,6.3,N,N,verified,New Holland Brewing Company,North American Origin Ales,Ale,25,45,4,6.4,15,26,1.04,1.01,1.018,45
Mighty Brown,7.5,N,Y,verified,Breckenridge Brewery,North American Origin Ales,Ale,25,45,4,6.4,15,26,1.04,1.01,1.018,21
Mountain Series: Salted Caramel Brown,6.5,N,N,verified,Breckenridge Brewery,North American Origin Ales,Ale,25,45,4,6.4,15,26,1.04,1.01,1.018,24
Nut Brown Ale,5.2,N,N,verified,Wachusett Brewing Company,North American Origin Ales,Ale,25,45,4,6.4,15,26,1.04,1.01,1.018,17
One Nut,6.1,N,N,verified,Oskar Blues Brewery,North American Origin Ales,Ale,25,45,4,6.4,15,26,1.04,1.01,1.018,44
Ovila Abbey Brown Ale (With Mandarins and Cocoa),7,N,N,verified,Sierra Nevada Brewing Company,North American Origin Ales,Ale,25,45,4,6.4,15,26,1.04,1.01,1.018,28
S Bus Imperial Brown,5.6,N,N,verified,Oskar Blues Brewery,North American Origin Ales,Ale,25,45,4,6.4,15,26,1.04,1.01,1.018,25
Simmer Down Brown,7,N,N,verified,Sierra Nevada Brewing Company,North American Origin Ales,Ale,25,45,4,6.4,15,26,1.04,1.01,1.018,25
Tumbler,5.5,N,N,verified,Sierra Nevada Brewing Company,North American Origin Ales,Ale,25,45,4,6.4,15,26,1.04,1.01,1.018,37
Unibrown,7.1,N,N,verified,Sierra Nevada Brewing Company,North American Origin Ales,Ale,25,45,4,6.4,15,26,1.04,1.01,1.018,25
Wilco Tango Foxtrot,7.8,N,N,verified,Lagunitas Brewing Company,North American Origin Ales,Ale,25,45,4,6.4,15,26,1.04,1.01,1.018,27
12th Of Never,5.5,N,N,verified,Lagunitas Brewing Company,North American Origin Ales,Ale,30,42,4.5,5.6,6,14,1.05,1.008,1.014,45
420 Extra Pale Ale,5.4,N,N,verified,SweetWater Brewing Company,North American Origin Ales,Ale,30,42,4.5,5.6,6,14,1.044,1.008,1.014,41
A Little Sumpin Sumpin,7.5,N,N,verified,Lagunitas Brewing Company,North American Origin Ales,Ale,30,42,4.5,5.6,6,14,1.076,1.008,1.014,64.2
Ale 20,5.7,N,N,verified,Sierra Nevada Brewing Company,North American Origin Ales,Ale,30,42,4.5,5.6,6,14,1.044,1.008,1.014,41
All Colorado Wet Hop Pale Ale,5.8,N,N,verified,Oskar Blues Brewery,North American Origin Ales,Ale,30,42,4.5,5.6,6,14,1.044,1.008,1.014,35
Anniversary Ale,3.8,N,N,verified,Zero Gravity Craft Brewery,North American Origin Ales,Ale,30,42,4.5,5.6,6,14,1.044,1.008,1.014,34
Audition - Pale Ale,6.5,N,N,verified,Sierra Nevada Brewing Company,North American Origin Ales,Ale,30,42,4.5,5.6,6,14,1.044,1.008,1.014,37
Barrel Aged Dale's Pale Ale (Makers Mark),6.5,N,N,verified,Oskar Blues Brewery,North American Origin Ales,Ale,30,42,4.5,5.6,6,14,1.044,1.008,1.014,40
Barrel-Aged Thunder Ann,5.5,Y,N,verified,Jackalope Brewing Company,North American Origin Ales,Ale,30,42,4.5,5.6,6,14,1.044,1.008,1.014,33
Born Yesterday,7.5,N,N,verified,Lagunitas Brewing Company,North American Origin Ales,Ale,30,42,4.5,5.6,6,14,1.044,1.008,1.014,37
Celebration Ale 1992,5.5,N,N,verified,Sierra Nevada Brewing Company,North American Origin Ales,Ale,30,42,4.5,5.6,6,14,1.044,1.008,1.014,42
Chico King - Beer Camp Across America (2014),6.5,N,N,verified,Sierra Nevada Brewing Company,North American Origin Ales,Ale,30,42,4.5,5.6,6,14,1.065,1.008,1.014,45
Citra Pale Ale,6,Y,N,verified,Jackalope Brewing Company,North American Origin Ales,Ale,30,42,4.5,5.6,6,14,1.044,1.008,1.014,37
CitruSinensis,7.9,Y,N,verified,Lagunitas Brewing Company,North American Origin Ales,Ale,30,42,4.5,5.6,6,14,1.044,1.008,1.014,40
Country Pale Ale,5.1,N,N,verified,Wachusett Brewing Company,North American Origin Ales,Ale,30,42,4.5,5.6,6,14,1.044,1.008,1.014,17
Credits & Debits,5,N,N,verified,New Holland Brewing Company,North American Origin Ales,Ale,30,42,4.5,5.6,6,14,1.044,1.008,1.014,42
Dale's Pale Ale,6.5,N,N,verified,Oskar Blues Brewery,North American Origin Ales,Ale,30,42,4.5,5.6,6,14,1.044,1.008,1.014,65
Dale's Pale Ale Nitro,6.5,N,N,verified,Oskar Blues Brewery,North American Origin Ales,Ale,30,42,4.5,5.6,6,14,1.044,1.008,1.014,65
Dales Dry Hop Equinox,6.5,N,N,verified,Oskar Blues Brewery,North American Origin Ales,Ale,30,42,4.5,5.6,6,14,1.044,1.008,1.014,41
Dales T45 Dry Hop,6.5,N,N,verified,Oskar Blues Brewery,North American Origin Ales,Ale,30,42,4.5,5.6,6,14,1.044,1.008,1.014,38
Dales T90 Dry Hop,6.5,N,N,verified,Oskar Blues Brewery,North American Origin Ales,Ale,30,42,4.5,5.6,6,14,1.044,1.008,1.014,33
Draught-Style Pale Ale,5,N,N,verified,Sierra Nevada Brewing Company,North American Origin Ales,Ale,30,42,4.5,5.6,6,14,1.044,1.008,1.014,36
Equinox,8.4,Y,N,verified,Lagunitas Brewing Company,North American Origin Ales,Ale,30,42,4.5,5.6,6,14,1.078,1.008,1.014,50
ESB - Early Spring Beer,5.9,N,N,verified,Sierra Nevada Brewing Company,North American Origin Ales,Ale,30,42,4.5,5.6,6,14,1.044,1.008,1.014,40
Fistful of Hops,6.2,N,N,verified,Sierra Nevada Brewing Company,North American Origin Ales,Ale,30,42,4.5,5.6,6,14,1.044,1.008,1.014,32
Four Hopsmen - Comet Dry Hopped,5.2,N,N,verified,Oskar Blues Brewery,North American Origin Ales,Ale,30,42,4.5,5.6,6,14,1.044,1.008,1.014,32
Four Hopsmen - HBC 472,5.2,N,N,verified,Oskar Blues Brewery,North American Origin Ales,Ale,30,42,4.5,5.6,6,14,1.044,1.008,1.014,31
Four Hopsmen - Hop Head Farms Eperimental Dry Hopped,5.2,N,N,verified,Oskar Blues Brewery,North American Origin Ales,Ale,30,42,4.5,5.6,6,14,1.044,1.008,1.014,38
Four Hopsmen - Mandarina Bavaria Dry Hopped,5.2,N,N,verified,Oskar Blues Brewery,North American Origin Ales,Ale,30,42,4.5,5.6,6,14,1.044,1.008,1.014,34
Fusion 39,5.5,N,N,verified,Lagunitas Brewing Company,North American Origin Ales,Ale,30,42,4.5,5.6,6,14,1.044,1.008,1.014,30
Goofer Dust,6.1,Y,N,verified,Oskar Blues Brewery,North American Origin Ales,Ale,30,42,4.5,5.6,6,14,1.044,1.008,1.014,40
Harvest Ale,6.5,N,Y,verified,Sierra Nevada Brewing Company,North American Origin Ales,Ale,30,42,4.5,5.6,6,14,1.044,1.008,1.014,41
Harvest Ale 2007,6.7,N,N,verified,Sierra Nevada Brewing Company,North American Origin Ales,Ale,30,42,4.5,5.6,6,14,1.044,1.008,1.014,35
